name	median	min	max	runs	allocs
BenchmarkStatic/scatter/grid1m/proj/Sweep	30.7	29.9	31.1	3	0
BenchmarkStatic/scatter/grid1m/proj/Blocked	27.5	27.1	29.7	3	0
BenchmarkStatic/scatter/grid1m/proj/SweepAll	29.1	28.5	29.1	3	0
BenchmarkStatic/scatter/grid1m/body/Sweep	46.8	46.3	47.0	3	0
BenchmarkStatic/scatter/grid1m/body/Blocked	43.6	40.6	44.5	3	0
BenchmarkStatic/scatter/grid1m/body/SweepAll	44.2	41.8	44.9	3	0
BenchmarkStatic/scatter/grid1m/lospair/Sweep	44.2	44.2	44.3	3	0
BenchmarkStatic/scatter/grid1m/lospair/Blocked	40.9	39.4	41.7	3	0
BenchmarkStatic/scatter/grid1m/lospair/SweepAll	42.3	41.5	42.5	3	0
BenchmarkStatic/scatter/grid1m/sight/Sweep	287.3	283.4	323.8	3	0
BenchmarkStatic/scatter/grid1m/sight/Blocked	256.7	255.7	273.9	3	0
BenchmarkStatic/scatter/grid1m/sight/SweepAll	310.4	306.6	340.7	3	0
BenchmarkStatic/scatter/grid1m/losmap/Sweep	736.0	698.3	861.9	3	0
BenchmarkStatic/scatter/grid1m/losmap/Blocked	640.9	627.8	775.6	3	0
BenchmarkStatic/scatter/grid1m/losmap/SweepAll	3360.0	3166.0	4065.0	3	0
BenchmarkStatic/scatter/grid2m/proj/Sweep	31.1	30.3	32.1	3	0
BenchmarkStatic/scatter/grid2m/proj/Blocked	29.3	28.2	30.5	3	0
BenchmarkStatic/scatter/grid2m/proj/SweepAll	30.5	28.9	31.0	3	0
BenchmarkStatic/scatter/grid2m/body/Sweep	43.0	41.3	43.8	3	0
BenchmarkStatic/scatter/grid2m/body/Blocked	38.4	35.3	39.1	3	0
BenchmarkStatic/scatter/grid2m/body/SweepAll	40.5	36.1	41.1	3	0
BenchmarkStatic/scatter/grid2m/lospair/Sweep	38.5	37.3	40.0	3	0
BenchmarkStatic/scatter/grid2m/lospair/Blocked	36.3	34.6	36.8	3	0
BenchmarkStatic/scatter/grid2m/lospair/SweepAll	37.0	34.6	37.1	3	0
BenchmarkStatic/scatter/grid2m/sight/Sweep	195.0	191.0	199.2	3	0
BenchmarkStatic/scatter/grid2m/sight/Blocked	173.6	171.9	176.3	3	0
BenchmarkStatic/scatter/grid2m/sight/SweepAll	213.3	207.7	215.5	3	0
BenchmarkStatic/scatter/grid2m/losmap/Sweep	467.2	463.5	477.4	3	0
BenchmarkStatic/scatter/grid2m/losmap/Blocked	426.4	412.2	432.3	3	0
BenchmarkStatic/scatter/grid2m/losmap/SweepAll	2067.0	2033.0	2181.0	3	0
BenchmarkStatic/scatter/grid4m/proj/Sweep	37.6	35.4	38.3	3	0
BenchmarkStatic/scatter/grid4m/proj/Blocked	34.1	32.5	35.4	3	0
BenchmarkStatic/scatter/grid4m/proj/SweepAll	34.9	34.0	35.5	3	0
BenchmarkStatic/scatter/grid4m/body/Sweep	54.3	52.1	55.1	3	0
BenchmarkStatic/scatter/grid4m/body/Blocked	50.7	49.1	52.2	3	0
BenchmarkStatic/scatter/grid4m/body/SweepAll	53.2	45.5	53.8	3	0
BenchmarkStatic/scatter/grid4m/lospair/Sweep	45.1	40.0	45.9	3	0
BenchmarkStatic/scatter/grid4m/lospair/Blocked	40.6	37.8	42.7	3	0
BenchmarkStatic/scatter/grid4m/lospair/SweepAll	42.2	40.1	42.5	3	0
BenchmarkStatic/scatter/grid4m/sight/Sweep	176.4	171.0	176.7	3	0
BenchmarkStatic/scatter/grid4m/sight/Blocked	149.9	144.5	153.7	3	0
BenchmarkStatic/scatter/grid4m/sight/SweepAll	182.8	178.4	204.3	3	0
BenchmarkStatic/scatter/grid4m/losmap/Sweep	417.6	408.0	437.3	3	0
BenchmarkStatic/scatter/grid4m/losmap/Blocked	367.6	356.5	370.2	3	0
BenchmarkStatic/scatter/grid4m/losmap/SweepAll	1823.0	1813.0	1873.0	3	0
BenchmarkStatic/rooms16/grid1m/proj/Sweep	35.0	33.6	36.9	3	0
BenchmarkStatic/rooms16/grid1m/proj/Blocked	32.8	31.5	34.2	3	0
BenchmarkStatic/rooms16/grid1m/proj/SweepAll	31.6	31.5	34.0	3	0
BenchmarkStatic/rooms16/grid1m/body/Sweep	52.1	47.9	54.6	3	0
BenchmarkStatic/rooms16/grid1m/body/Blocked	47.5	44.2	51.3	3	0
BenchmarkStatic/rooms16/grid1m/body/SweepAll	49.5	47.8	53.4	3	0
BenchmarkStatic/rooms16/grid1m/lospair/Sweep	48.8	47.6	52.4	3	0
BenchmarkStatic/rooms16/grid1m/lospair/Blocked	46.3	45.5	49.1	3	0
BenchmarkStatic/rooms16/grid1m/lospair/SweepAll	48.8	47.7	50.2	3	0
BenchmarkStatic/rooms16/grid1m/sight/Sweep	222.2	218.0	238.8	3	0
BenchmarkStatic/rooms16/grid1m/sight/Blocked	189.0	187.4	201.6	3	0
BenchmarkStatic/rooms16/grid1m/sight/SweepAll	395.6	388.8	444.3	3	0
BenchmarkStatic/rooms16/grid1m/losmap/Sweep	245.7	244.2	294.3	3	0
BenchmarkStatic/rooms16/grid1m/losmap/Blocked	211.4	207.7	242.8	3	0
BenchmarkStatic/rooms16/grid1m/losmap/SweepAll	4464.0	4343.0	4711.0	3	0
BenchmarkStatic/rooms16/grid2m/proj/Sweep	35.9	34.8	39.3	3	0
BenchmarkStatic/rooms16/grid2m/proj/Blocked	34.6	33.9	36.5	3	0
BenchmarkStatic/rooms16/grid2m/proj/SweepAll	34.2	32.9	35.6	3	0
