goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/grid1m/proj/Sweep-32         	 7372048	        30.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Blocked-32       	 8462712	        29.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/SweepAll-32      	 8623477	        28.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Sweep-32         	 5038988	        46.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Blocked-32       	 5501104	        43.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/SweepAll-32      	 5477713	        44.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Sweep-32      	 5311990	        44.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Blocked-32    	 6193532	        40.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/SweepAll-32   	 5859460	        42.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Sweep-32        	  761928	       283.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Blocked-32      	  904942	       256.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/SweepAll-32     	  753555	       310.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Sweep-32       	  350553	       736.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Blocked-32     	  369975	       627.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/SweepAll-32    	   76478	      3166 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Sweep-32         	 7836018	        31.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Blocked-32       	 7877452	        29.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/SweepAll-32      	 7667388	        30.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Sweep-32         	 5583745	        42.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Blocked-32       	 6279188	        39.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/SweepAll-32      	 5893518	        40.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Sweep-32      	 6267381	        38.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Blocked-32    	 6594909	        36.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/SweepAll-32   	 6372910	        37.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Sweep-32        	 1231456	       195.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Blocked-32      	 1378669	       173.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/SweepAll-32     	 1000000	       213.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Sweep-32       	  507795	       467.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Blocked-32     	  567992	       426.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/SweepAll-32    	  117180	      2067 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Sweep-32         	 6098397	        37.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Blocked-32       	 6697623	        34.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/SweepAll-32      	 6872890	        34.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Sweep-32         	 4346731	        54.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Blocked-32       	 4422250	        52.20 ns/op	       0 B/op	       0 allocs/op
