goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/hash1m/proj/Sweep-32         	 6975973	        32.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/proj/Blocked-32       	 7815679	        30.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/proj/SweepAll-32      	 7966857	        30.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/Sweep-32         	 4538559	        52.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/Blocked-32       	 4862955	        46.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/SweepAll-32      	 4620902	        51.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/Sweep-32      	 4275993	        55.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/Blocked-32    	 4283832	        52.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/SweepAll-32   	 5171466	        49.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/Sweep-32        	  637230	       368.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/Blocked-32      	  684091	       349.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/SweepAll-32     	  571522	       420.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/Sweep-32       	  251602	       962.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/Blocked-32     	  258534	       908.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/SweepAll-32    	   50763	      4723 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/Sweep-32         	 7718456	        30.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/Blocked-32       	 8275918	        28.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/SweepAll-32      	 8132229	        29.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/body/Sweep-32         	 5507239	        42.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/body/Blocked-32       	 5990967	        39.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/body/SweepAll-32      	 5704885	        41.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/lospair/Sweep-32      	 5837654	        38.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/lospair/Blocked-32    	 6327044	        36.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/lospair/SweepAll-32   	 6392226	        37.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/sight/Sweep-32        	  906994	       257.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/sight/Blocked-32      	  980751	       235.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/sight/SweepAll-32     	  811633	       287.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/losmap/Sweep-32       	  360105	       643.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/losmap/Blocked-32     	  404912	       601.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/losmap/SweepAll-32    	   78228	      3032 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/proj/Sweep-32         	 6619776	        36.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/proj/Blocked-32       	 7119886	        33.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/proj/SweepAll-32      	 6788904	        34.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/body/Sweep-32         	 4906148	        52.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/body/Blocked-32       	 5065138	        48.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/body/SweepAll-32      	 4320128	        55.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/lospair/Sweep-32      	 5270508	        44.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/lospair/Blocked-32    	 5921392	        40.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/lospair/SweepAll-32   	 5395634	        44.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/sight/Sweep-32        	 1000000	       223.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/sight/Blocked-32      	 1253226	       191.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/sight/SweepAll-32     	  974341	       234.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/losmap/Sweep-32       	  467180	       515.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/losmap/Blocked-32     	  503217	       465.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash4m/losmap/SweepAll-32    	  103694	      2317 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/proj/Sweep-32         	 6170839	        39.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/proj/Blocked-32       	 6411763	        37.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/proj/SweepAll-32      	 6160796	        38.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/body/Sweep-32         	 3444830	        67.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/body/Blocked-32       	 4025467	        58.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/body/SweepAll-32      	 3613978	        65.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/lospair/Sweep-32      	 3747552	        64.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/lospair/Blocked-32    	 4348762	        55.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/lospair/SweepAll-32   	 3800769	        63.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/sight/Sweep-32        	  798880	       271.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/sight/Blocked-32      	  978234	       238.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/sight/SweepAll-32     	  488838	       476.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/losmap/Sweep-32       	  769575	       302.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/losmap/Blocked-32     	  859260	       266.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash1m/losmap/SweepAll-32    	   43609	      5503 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/proj/Sweep-32         	 6048828	        38.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/proj/Blocked-32       	 6681421	        36.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/proj/SweepAll-32      	 6357682	        38.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/body/Sweep-32         	 3996322	        58.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/body/Blocked-32       	 4772841	        50.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/body/SweepAll-32      	 4206703	        56.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/lospair/Sweep-32      	 4480872	        51.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/lospair/Blocked-32    	 5165022	        47.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/lospair/SweepAll-32   	 4945394	        47.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/sight/Sweep-32        	  982358	       209.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/sight/Blocked-32      	 1402323	       171.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/sight/SweepAll-32     	  646952	       345.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/losmap/Sweep-32       	  931026	       237.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/losmap/Blocked-32     	 1210760	       198.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash2m/losmap/SweepAll-32    	   65032	      3638 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/proj/Sweep-32         	 5519206	        42.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/proj/Blocked-32       	 5963517	        39.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/proj/SweepAll-32      	 5772032	        41.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/body/Sweep-32         	 3561823	        66.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/body/Blocked-32       	 4049108	        59.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/body/SweepAll-32      	 3544129	        67.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/lospair/Sweep-32      	 4544326	        53.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/lospair/Blocked-32    	 5126310	        46.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/lospair/SweepAll-32   	 4554321	        51.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/sight/Sweep-32        	 1215026	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/sight/Blocked-32      	 1879819	       128.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/sight/SweepAll-32     	  895789	       252.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/losmap/Sweep-32       	 1226914	       195.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/losmap/Blocked-32     	 1568973	       152.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/hash4m/losmap/SweepAll-32    	   92574	      2567 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/proj/Sweep-32    	 5623374	        42.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/proj/Blocked-32  	 6086766	        39.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/proj/SweepAll-32 	 5782867	        41.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/body/Sweep-32    	 2168500	       110.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/body/Blocked-32  	 2827344	        83.73 ns/op	       0 B/op	       0 allocs/op
