name	median	min	max	runs	allocs
BenchmarkStatic/scatter/linear/proj/Sweep	76997.0	76737.0	80537.0	3	0
BenchmarkStatic/scatter/linear/proj/Blocked	76690.0	76583.0	80037.0	3	0
BenchmarkStatic/scatter/linear/proj/SweepAll	73186.0	72906.0	76022.0	3	0
BenchmarkStatic/scatter/linear/losmap/Sweep	101049.0	99711.0	103565.0	3	0
BenchmarkStatic/scatter/linear/losmap/Blocked	101095.0	100143.0	105526.0	3	0
BenchmarkStatic/scatter/linear/losmap/SweepAll	96757.0	95774.0	100936.0	3	0
BenchmarkStatic/scatter/grid1m/proj/Sweep	30.1	29.8	32.0	3	0
BenchmarkStatic/scatter/grid1m/proj/Blocked	30.2	29.1	31.3	3	0
BenchmarkStatic/scatter/grid1m/proj/SweepAll	28.5	27.3	29.9	3	0
BenchmarkStatic/scatter/grid1m/body/Sweep	47.5	44.9	48.9	3	0
BenchmarkStatic/scatter/grid1m/body/Blocked	43.7	43.3	44.8	3	0
BenchmarkStatic/scatter/grid1m/body/SweepAll	44.5	44.1	45.1	3	0
BenchmarkStatic/scatter/grid1m/lospair/Sweep	44.3	43.0	54.5	3	0
BenchmarkStatic/scatter/grid1m/lospair/Blocked	41.5	41.0	55.7	3	0
BenchmarkStatic/scatter/grid1m/lospair/SweepAll	42.5	42.0	53.8	3	0
BenchmarkStatic/scatter/grid1m/sight/Sweep	282.1	279.7	394.0	3	0
BenchmarkStatic/scatter/grid1m/sight/Blocked	252.0	251.2	340.0	3	0
BenchmarkStatic/scatter/grid1m/sight/SweepAll	312.0	299.8	415.5	3	0
BenchmarkStatic/scatter/grid1m/losmap/Sweep	687.8	683.4	950.6	3	0
BenchmarkStatic/scatter/grid1m/losmap/Blocked	613.2	597.3	857.5	3	0
BenchmarkStatic/scatter/grid1m/losmap/SweepAll	3159.0	3038.0	4074.0	3	0
BenchmarkStatic/scatter/grid2m/proj/Sweep	30.2	30.1	34.8	3	0
BenchmarkStatic/scatter/grid2m/proj/Blocked	28.4	26.6	33.2	3	0
BenchmarkStatic/scatter/grid2m/proj/SweepAll	28.4	28.1	34.3	3	0
BenchmarkStatic/scatter/grid2m/body/Sweep	41.3	41.0	45.7	3	0
BenchmarkStatic/scatter/grid2m/body/Blocked	37.4	36.5	40.1	3	0
BenchmarkStatic/scatter/grid2m/body/SweepAll	38.9	35.7	52.2	3	0
BenchmarkStatic/scatter/grid2m/lospair/Sweep	37.5	34.6	40.8	3	0
BenchmarkStatic/scatter/grid2m/lospair/Blocked	33.9	33.2	36.9	3	0
BenchmarkStatic/scatter/grid2m/lospair/SweepAll	35.1	34.5	36.8	3	0
BenchmarkStatic/scatter/grid2m/sight/Sweep	191.5	190.5	203.5	3	0
BenchmarkStatic/scatter/grid2m/sight/Blocked	171.0	169.7	183.9	3	0
BenchmarkStatic/scatter/grid2m/sight/SweepAll	209.7	207.9	261.3	3	0
BenchmarkStatic/scatter/grid2m/losmap/Sweep	470.3	463.8	630.6	3	0
BenchmarkStatic/scatter/grid2m/losmap/Blocked	417.4	417.2	574.1	3	0
BenchmarkStatic/scatter/grid2m/losmap/SweepAll	2044.0	2044.0	3016.0	3	0
BenchmarkStatic/scatter/grid4m/proj/Sweep	36.6	36.0	42.9	3	0
BenchmarkStatic/scatter/grid4m/proj/Blocked	33.2	31.7	39.9	3	0
BenchmarkStatic/scatter/grid4m/proj/SweepAll	34.0	32.3	41.4	3	0
BenchmarkStatic/scatter/grid4m/body/Sweep	52.6	50.6	62.4	3	0
BenchmarkStatic/scatter/grid4m/body/Blocked	49.1	41.1	58.7	3	0
BenchmarkStatic/scatter/grid4m/body/SweepAll	50.6	44.2	63.4	3	0
BenchmarkStatic/scatter/grid4m/lospair/Sweep	43.4	41.1	53.3	3	0
BenchmarkStatic/scatter/grid4m/lospair/Blocked	40.2	38.8	50.3	3	0
BenchmarkStatic/scatter/grid4m/lospair/SweepAll	40.9	39.5	48.2	3	0
BenchmarkStatic/scatter/grid4m/sight/Sweep	172.0	171.6	199.7	3	0
BenchmarkStatic/scatter/grid4m/sight/Blocked	146.7	145.9	166.8	3	0
BenchmarkStatic/scatter/grid4m/sight/SweepAll	181.2	179.2	199.5	3	0
BenchmarkStatic/scatter/grid4m/losmap/Sweep	410.7	407.8	484.2	3	0
BenchmarkStatic/scatter/grid4m/losmap/Blocked	359.0	357.9	407.6	3	0
BenchmarkStatic/scatter/grid4m/losmap/SweepAll	1810.0	1807.0	2044.0	3	0
BenchmarkStatic/scatter/grid8m/proj/Sweep	61.6	51.4	66.8	3	0
BenchmarkStatic/scatter/grid8m/proj/Blocked	54.2	48.6	61.0	3	0
BenchmarkStatic/scatter/grid8m/proj/SweepAll	53.4	52.2	65.4	3	0
BenchmarkStatic/scatter/grid8m/body/Sweep	107.5	106.4	120.0	3	0
BenchmarkStatic/scatter/grid8m/body/Blocked	98.5	96.5	117.9	3	0
BenchmarkStatic/scatter/grid8m/body/SweepAll	104.5	103.5	124.0	3	0
BenchmarkStatic/scatter/grid8m/lospair/Sweep	65.4	61.9	83.4	3	0
BenchmarkStatic/scatter/grid8m/lospair/Blocked	64.6	64.2	74.1	3	0
BenchmarkStatic/scatter/grid8m/lospair/SweepAll	70.1	61.2	79.2	3	0
BenchmarkStatic/scatter/grid8m/sight/Sweep	248.5	247.0	277.9	3	0
BenchmarkStatic/scatter/grid8m/sight/Blocked	196.5	195.4	207.5	3	0
BenchmarkStatic/scatter/grid8m/sight/SweepAll	237.1	236.5	266.3	3	0
BenchmarkStatic/scatter/grid8m/losmap/Sweep	464.0	463.8	505.9	3	0
BenchmarkStatic/scatter/grid8m/losmap/Blocked	392.9	392.2	460.6	3	0
BenchmarkStatic/scatter/grid8m/losmap/SweepAll	2003.0	1984.0	2393.0	3	0
BenchmarkStatic/scatter/bvh2/proj/Sweep	190.6	189.8	254.3	3	0
BenchmarkStatic/scatter/bvh2/proj/Blocked	210.4	209.7	255.9	3	0
BenchmarkStatic/scatter/bvh2/proj/SweepAll	212.6	211.0	261.0	3	0
BenchmarkStatic/scatter/bvh2/body/Sweep	223.4	223.3	285.8	3	0
BenchmarkStatic/scatter/bvh2/body/Blocked	236.8	235.8	282.7	3	0
BenchmarkStatic/scatter/bvh2/body/SweepAll	246.6	245.0	311.4	3	0
BenchmarkStatic/scatter/bvh2/lospair/Sweep	212.6	212.1	273.8	3	0
BenchmarkStatic/scatter/bvh2/lospair/Blocked	228.5	227.0	285.3	3	0
BenchmarkStatic/scatter/bvh2/lospair/SweepAll	232.3	231.4	375.0	3	0
