goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/linear/proj/Sweep-32         	    3220	     76997 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/proj/Blocked-32       	    3238	     76690 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/proj/SweepAll-32      	    3410	     72906 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/Sweep-32       	    2414	     99711 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/Blocked-32     	    2425	    100143 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/SweepAll-32    	    2523	     95774 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Sweep-32         	 8023990	        29.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Blocked-32       	 8356080	        29.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/SweepAll-32      	 8091624	        28.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Sweep-32         	 5025325	        47.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Blocked-32       	 5455611	        43.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/SweepAll-32      	 5336463	        44.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Sweep-32      	 5326467	        43.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Blocked-32    	 5985738	        41.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/SweepAll-32   	 5673784	        42.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Sweep-32        	  792864	       282.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Blocked-32      	  875209	       252.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/SweepAll-32     	  766381	       312.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Sweep-32       	  347468	       687.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Blocked-32     	  388255	       613.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/SweepAll-32    	   76730	      3159 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Sweep-32         	 8016272	        30.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Blocked-32       	 8978439	        28.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/SweepAll-32      	 8534667	        28.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Sweep-32         	 5780402	        41.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Blocked-32       	 6486152	        37.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/SweepAll-32      	 6425632	        38.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Sweep-32      	 6266989	        37.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Blocked-32    	 7001881	        33.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/SweepAll-32   	 7059009	        34.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Sweep-32        	 1259470	       190.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Blocked-32      	 1416465	       169.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/SweepAll-32     	  995726	       209.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Sweep-32       	  519446	       463.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Blocked-32     	  561074	       417.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/SweepAll-32    	  117728	      2044 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Sweep-32         	 6706719	        36.02 ns/op	       0 B/op	       0 allocs/op
