BenchmarkDrawnModel5000-32    	     147	   8241744 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     856 B/op	      13 allocs/op
BenchmarkDirectModel5000-32    	     153	   8079341 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     843 B/op	      13 allocs/op
BenchmarkDirectModelInstanced5000-32    	     442	   2724348 ns/op	         1.000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     848 B/op	      13 allocs/op
BenchmarkDrawnModel5000-32    	     150	   8439319 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     860 B/op	      13 allocs/op
BenchmarkDirectModel5000-32    	     153	   7992163 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     853 B/op	      13 allocs/op
BenchmarkDirectModelInstanced5000-32    	     441	   2690070 ns/op	         1.000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     841 B/op	      13 allocs/op
BenchmarkDrawnModel5000-32    	     148	   8539968 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     841 B/op	      13 allocs/op
BenchmarkDirectModel5000-32    	     154	   8406809 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     853 B/op	      13 allocs/op
BenchmarkDirectModelInstanced5000-32    	     439	   2701316 ns/op	         1.000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     844 B/op	      13 allocs/op
BenchmarkDrawnModel5000-32    	     151	   8182401 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     848 B/op	      13 allocs/op
BenchmarkDirectModel5000-32    	     153	   8161273 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     842 B/op	      13 allocs/op
BenchmarkDirectModelInstanced5000-32    	     439	   2755148 ns/op	         1.000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     843 B/op	      13 allocs/op
BenchmarkDrawnModel5000-32    	     151	   8459581 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     849 B/op	      13 allocs/op
BenchmarkDirectModel5000-32    	     152	   8204101 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     842 B/op	      13 allocs/op
BenchmarkDirectModelInstanced5000-32    	     435	   2739399 ns/op	         1.000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     842 B/op	      13 allocs/op
BenchmarkDrawnModel5000-32    	     150	   8313567 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     841 B/op	      13 allocs/op
BenchmarkDirectModel5000-32    	     153	   8391840 ns/op	      5000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     858 B/op	      13 allocs/op
BenchmarkDirectModelInstanced5000-32    	     434	   2724119 ns/op	         1.000 batches/frame	      5000 instances/frame	         1.000 passes/frame	     845 B/op	      13 allocs/op
